subid,community,participant_age,child_gender,maternal_education,child_race,day_prop_english,day_prop_non_english,day_prop_other,life_prop_english,life_prop_non_english,life_prop_other,cg1_age_english,cg1_english_proficiency,cg1_age_non_english,cg1_non_english_proficiency
P_01,princeton,23,male,bachelors,white,30,70,0,35,65,0,0,7,11,6
P_03,princeton,23,male,masters,white,39,61,0,49,49,2,4,7,0,5
P_04,princeton,18,female,masters,white,85,15,0,75,25,0,NA,NA,NA,NA
P_06,princeton,18,female,masters,white,60,40,0,70,30,0,0,7,NA,NA
P_07,princeton,18,female,doctoral,white,30,70,0,50,50,0,12,6,0,7
P_08,princeton,35,female,associates,white,60,35,5,65,30,5,8,7,0,7
P_09,princeton,34,male,bachelors,white,75,25,0,75,25,0,0,7,0,4
P_12,princeton,35,female,bachelors,white,60,40,0,49,49,2,10,7,0,6
P_16,princeton,21,female,bachelors,asian,49.5,49.5,1,29.5,69.5,1,3,7,0,7
P_20,princeton,21,female,associates,white,20,80,0,24.5,74.5,1,18,6,0,7
P_21,princeton,23,both,masters,biracial,75,25,0,60,40,0,0,7,15,3
C_01,concordia,25,female,masters,white,20,80,0,20,80,0,5,6,0,7
C_02,concordia,27,female,bachelors,biracial,75,25,0,60,40,0,0,7,3,6
C_03,concordia,24,female,some_college,white,25,75,0,49,50,1,0,7,6,7
C_04,concordia,24,male,bachelors,white,40,60,0,50,50,0,4,7,0,7
C_06,concordia,21,male,bachelors,white,29,70,1,39,60,1,0,7,3,5
C_07,concordia,18,male,bachelors,white,25,75,0,50,50,0,0,7,3,7
C_08,concordia,22,male,bachelors,white,50,50,0,40,59,1,4,5,0,7
C_10,concordia,28,female,associates,white,30,70,0,40,60,0,7,7,0,7
C_11,concordia,25,male,masters,white,30,70,0,50,50,0,0,7,6,5
C_12,concordia,21,female,bachelors,white,20,80,0,10,90,0,0,7,0,7
C_13,concordia,31,female,masters,white,20,80,0,24,74,2,8,7,0,7
C_16,concordia,18,male,bachelors,white,50,50,0,60,40,0,0,7,0,7
C_17,concordia,20,female,masters,biracial,48,48,4,57,38,5,0,7,12,7
C_18,concordia,19,female,some_college,biracial,65,35,0,65,30,5,0,7,1,7
C_19,concordia,18,female,bachelors,white,40,60,0,70,30,0,0,7,0,6
C_20,concordia,35,male,masters,white,50,50,0,40,60,0,0,7,13,6
