subid,site,days_apart
C_01,FrenchEnglish,3
C_02,FrenchEnglish,14
C_03,FrenchEnglish,14
C_04,FrenchEnglish,3
C_06,FrenchEnglish,7
C_07,FrenchEnglish,0
C_08,FrenchEnglish,4
C_10,FrenchEnglish,0
C_11,FrenchEnglish,3
C_12,FrenchEnglish,21
C_13,FrenchEnglish,0
C_16,FrenchEnglish,7
C_17,FrenchEnglish,1
C_18,FrenchEnglish,21
C_19,FrenchEnglish,7
C_20,FrenchEnglish,6
P_01,SpanishEnglish,7
P_03,SpanishEnglish,14
P_04,SpanishEnglish,11
P_06,SpanishEnglish,8
P_07,SpanishEnglish,18
P_08,SpanishEnglish,10
P_09,SpanishEnglish,7
P_12,SpanishEnglish,28
P_16,SpanishEnglish,36
P_20,SpanishEnglish,14
P_21,SpanishEnglish,7
