subid,community,session,speaker,language,speaking_seconds,relation_to_child
C_01,FrenchEnglish,SessionA,FA1,English,13.937,mother
C_01,FrenchEnglish,SessionA,FA1,NonEnglish,310.289,mother
C_01,FrenchEnglish,SessionB,FA1,English,0.5,mother
C_01,FrenchEnglish,SessionB,FA1,NonEnglish,215.723,mother
C_01,FrenchEnglish,SessionB,MA1,English,1.489,father
C_01,FrenchEnglish,SessionB,MA1,NonEnglish,98.258,father
C_02,FrenchEnglish,SessionA,FA1,English,283.687,mother
C_02,FrenchEnglish,SessionA,FA1,NonEnglish,9.876,mother
C_02,FrenchEnglish,SessionB,FA1,English,384.462,mother
C_02,FrenchEnglish,SessionB,FA1,NonEnglish,24.303,mother
C_02,FrenchEnglish,SessionB,MA1,English,16.271,father
C_02,FrenchEnglish,SessionB,MA1,NonEnglish,175.04,father
C_03,FrenchEnglish,SessionA,FA1,English,140.986,mother
C_03,FrenchEnglish,SessionA,FA1,NonEnglish,245.749,mother
C_03,FrenchEnglish,SessionB,FA1,English,142.353,mother
C_03,FrenchEnglish,SessionB,FA1,NonEnglish,187.059,mother
C_03,FrenchEnglish,SessionB,FC1,English,6.173,sister
C_03,FrenchEnglish,SessionB,FC1,NonEnglish,121.382,sister
C_03,FrenchEnglish,SessionB,MA1,English,22.952,father
C_03,FrenchEnglish,SessionB,MA1,NonEnglish,151.998,father
C_04,FrenchEnglish,SessionA,FA1,English,179.12,mother
C_04,FrenchEnglish,SessionA,FA1,NonEnglish,505.418,mother
C_04,FrenchEnglish,SessionB,FA1,English,52.041,mother
C_04,FrenchEnglish,SessionB,FA1,NonEnglish,341.278,mother
C_04,FrenchEnglish,SessionB,MA1,English,417.045,father
C_04,FrenchEnglish,SessionB,MA1,NonEnglish,13.532,father
C_06,FrenchEnglish,SessionA,FA1,English,9.022,mother
C_06,FrenchEnglish,SessionA,FA1,NonEnglish,208.928,mother
C_06,FrenchEnglish,SessionB,FA1,English,37.469,mother
C_06,FrenchEnglish,SessionB,FA1,NonEnglish,219.05,mother
C_06,FrenchEnglish,SessionB,MA1,English,117.594,father
C_06,FrenchEnglish,SessionB,MA1,NonEnglish,125.891,father
C_07,FrenchEnglish,SessionA,FA1,English,387.777,mother
C_07,FrenchEnglish,SessionA,FA1,NonEnglish,0,mother
C_07,FrenchEnglish,SessionB,FA1,English,286.194,mother
C_07,FrenchEnglish,SessionB,FA1,NonEnglish,14.391,mother
C_07,FrenchEnglish,SessionB,MA1,English,10.923,father
C_07,FrenchEnglish,SessionB,MA1,NonEnglish,123.791,father
C_07,FrenchEnglish,SessionB,MC1,English,70.886,brother
C_07,FrenchEnglish,SessionB,MC1,NonEnglish,45.304,brother
C_08,FrenchEnglish,SessionA,FA1,English,24.279,mother
C_08,FrenchEnglish,SessionA,FA1,NonEnglish,324.578,mother
C_08,FrenchEnglish,SessionB,FA1,English,180.004,mother
C_08,FrenchEnglish,SessionB,FA1,NonEnglish,105.86,mother
C_08,FrenchEnglish,SessionB,MA1,English,370.443,father
