subid,session,community,total_spm,within_spm,between_spm
C_01,SessionA,FrenchEnglish,1.3,1.3,0
P_01,SessionA,SpanishEnglish,3.8,3.8,0
C_01,SessionB,FrenchEnglish,0.4,0.15,0.25
P_01,SessionB,SpanishEnglish,5.45,2.85,2.6
C_02,SessionA,FrenchEnglish,0.55,0.55,0
C_02,SessionB,FrenchEnglish,9.3,1.4,7.9
C_03,SessionA,FrenchEnglish,4.6,4.6,0
P_03,SessionA,SpanishEnglish,2.4,2.4,0
C_03,SessionB,FrenchEnglish,9.45,3.8,5.65
P_03,SessionB,SpanishEnglish,5.35,3.4,1.95
C_04,SessionA,FrenchEnglish,4.2,4.2,0
P_04,SessionA,SpanishEnglish,4.05,4.05,0
C_04,SessionB,FrenchEnglish,10.7,2.2,8.5
P_04,SessionB,SpanishEnglish,5.1,2.4,2.7
C_06,SessionA,FrenchEnglish,1.5,1.5,0
P_06,SessionA,SpanishEnglish,0.3,0.3,0
C_06,SessionB,FrenchEnglish,5,2.55,2.45
P_06,SessionB,SpanishEnglish,9.15,5.95,3.2
C_07,SessionA,FrenchEnglish,0,0,0
P_07,SessionA,SpanishEnglish,11.7,11.7,0
C_07,SessionB,FrenchEnglish,11.25,1.25,10
P_07,SessionB,SpanishEnglish,7.75,5.3,2.45
C_08,SessionA,FrenchEnglish,2.7,2.7,0
P_08,SessionA,SpanishEnglish,2,2,0
C_08,SessionB,FrenchEnglish,7.35,3.05,4.3
P_08,SessionB,SpanishEnglish,1.3,0.8,0.5
P_09,SessionA,SpanishEnglish,0.5,0.5,0
P_09,SessionB,SpanishEnglish,12.1,3.7,8.4
C_10,SessionA,FrenchEnglish,1.1,1.1,0
C_10,SessionB,FrenchEnglish,7.7,0.95,6.75
C_11,SessionA,FrenchEnglish,0.8,0.8,0
C_11,SessionB,FrenchEnglish,11.5,1.95,9.55
C_12,SessionA,FrenchEnglish,0.1,0.1,0
P_12,SessionA,SpanishEnglish,1.1,1.1,0
C_12,SessionB,FrenchEnglish,5.8,0.95,4.85
P_12,SessionB,SpanishEnglish,13.2,2.3,10.9
C_13,SessionA,FrenchEnglish,0,0,0
C_13,SessionB,FrenchEnglish,3.3,0.35,2.95
C_16,SessionA,FrenchEnglish,2.4,2.4,0
P_16,SessionA,SpanishEnglish,5.1,5.1,0
C_16,SessionB,FrenchEnglish,5.55,2.95,2.6
P_16,SessionB,SpanishEnglish,4.35,1.85,2.5
C_17,SessionA,FrenchEnglish,2,2,0
C_17,SessionB,FrenchEnglish,9.05,2.6,6.45
C_18,SessionA,FrenchEnglish,3.1,3.1,0
C_18,SessionB,FrenchEnglish,8.8,4.4,4.4
C_19,SessionA,FrenchEnglish,5.25,5.25,0
C_19,SessionB,FrenchEnglish,6.5,2.7,3.8
C_20,SessionA,FrenchEnglish,1.5,1.5,0
P_20,SessionA,SpanishEnglish,2,2,0
C_20,SessionB,FrenchEnglish,13.3,0.65,12.65
P_20,SessionB,SpanishEnglish,7.5,2,5.5
P_21,SessionA,SpanishEnglish,4.3,4.3,0
P_21,SessionB,SpanishEnglish,7.35,1.25,6.1
