subid,community,speaker,within_spm
C_01,FrenchEnglish,FA1,0.2
C_01,FrenchEnglish,MA1,0.2
C_02,FrenchEnglish,FA1,0.8
C_02,FrenchEnglish,MA1,1.8
C_03,FrenchEnglish,FA1,5.5
C_03,FrenchEnglish,MA1,1.7
C_03,FrenchEnglish,FC1,1
C_04,FrenchEnglish,FA1,2.95
C_04,FrenchEnglish,MA1,1.1
C_06,FrenchEnglish,FA1,2.6
C_06,FrenchEnglish,MA1,2.6
C_07,FrenchEnglish,FA1,1.2
C_07,FrenchEnglish,MA1,1.3
C_07,FrenchEnglish,MC1,2.7
C_08,FrenchEnglish,FA1,4.65
C_08,FrenchEnglish,MA1,2.15
C_10,FrenchEnglish,FA1,0.9
C_10,FrenchEnglish,MA1,1.2
C_11,FrenchEnglish,FA1,2
C_11,FrenchEnglish,MA1,0.8
C_11,FrenchEnglish,FC1,0.6
C_12,FrenchEnglish,FA1,0.95
C_12,FrenchEnglish,FA2,0.2
C_12,FrenchEnglish,MA2,1.15
C_12,FrenchEnglish,FA3,1.1
C_12,FrenchEnglish,MA1,0.7
C_13,FrenchEnglish,MA1,1
C_13,FrenchEnglish,FC1,0
C_13,FrenchEnglish,FA1,0.7
C_16,FrenchEnglish,FA1,3.15
C_16,FrenchEnglish,MA1,2.1
C_17,FrenchEnglish,FA1,2.9
C_17,FrenchEnglish,MA1,1.1
C_18,FrenchEnglish,FA1,5
C_18,FrenchEnglish,MA1,3.3
C_19,FrenchEnglish,FA1,2
C_19,FrenchEnglish,MA1,2.6
C_19,FrenchEnglish,FA2,1.7
C_20,FrenchEnglish,FA1,0.5
C_20,FrenchEnglish,MA1,1.3
P_01,SpanishEnglish,FA1,3.05
P_01,SpanishEnglish,MA1,2.6
P_03,SpanishEnglish,FA1,2.25
P_03,SpanishEnglish,FA2,2.4
P_03,SpanishEnglish,FA3,0
P_04,SpanishEnglish,FA1,3.8
P_04,SpanishEnglish,FC1,0.3
P_06,SpanishEnglish,FA1,7.65
P_06,SpanishEnglish,MA1,0.2
P_07,SpanishEnglish,FA1,5.15
P_07,SpanishEnglish,MC1,2.15
P_08,SpanishEnglish,FA1,0.9
P_08,SpanishEnglish,MA1,0.4
P_08,SpanishEnglish,FC1,0
P_09,SpanishEnglish,FA1,1.2
P_09,SpanishEnglish,FA2,3.7
P_09,SpanishEnglish,FC1,1.6
P_12,SpanishEnglish,FA1,4.2
P_12,SpanishEnglish,FC1,0.5
P_12,SpanishEnglish,MA1,0.1
P_16,SpanishEnglish,FA2,1.15
P_16,SpanishEnglish,FA1,2.65
P_20,SpanishEnglish,FA1,1.7
P_20,SpanishEnglish,MA1,1.7
P_21,SpanishEnglish,FA1,2.3
P_21,SpanishEnglish,MA1,1.65
P_21,SpanishEnglish,MC1,0.5
